week,lecture,title,url
1,1,1.1:Pandas Series and DataFrame 1,https://youtu.be/MdnmbjKM7a0?si=9VOc3FQOYrEJqIYU
1,2,1.2:Pandas Series and DataFrame 2,https://youtu.be/b-dMycr7SGU?si=ks1C2rQaSs0Ne8Q2
1,3,1.3:Data Selction using pandas 1,https://youtu.be/CbAiwXBgzfw?si=MRnHIyOy4aT9K73B
1,4,1.4:Data Selction using pandas 2,https://youtu.be/N6YZuEpDNY4?si=hFKbFElJwUJdO1PM
1,5,1.5:Drop in DataFrame,https://youtu.be/GjGqrjFiIuM?si=K1_jt4JxMKYvI4IS
1,6,1.6:Apply Statistics using Pandas,https://youtu.be/zQ7JXNnCS7A?si=0de8Z2X1nLOPSmoj
2,1,2.1 - Introduction: Looking at the big picture,https://youtu.be/c3fKU3H4VDM?si=bx812X0zf1s2wwZa
2,2,2.2 - Data Visualization,https://youtu.be/kIyxumBVo6o?si=w36FQKAEykV_hklS
2,3,2.3 - Data Preparation,https://youtu.be/R3V0hVHggwo?si=rfUTlIjPHLCqFC4Y
2,4,2.4 - Selection and training of ML models,https://youtu.be/TKqS2Pd1U7o?si=bvEgHGosYcbB37HF
2,5,2.5 - Finetuning ML models,https://youtu.be/oa7QlR8kzIA?si=CH2OmDOEy3Duk5Hh
2,6,2.6 - Introduction to Scikit-Learn,https://youtu.be/4Lo10fugSOE?si=-xIUJafS0xlYLD7M
2,7,2.7 - Data Loading,https://youtu.be/kCxlP1tXc_0?si=sDrtXGEscxUXHdNx
2,8,2.8 - Demonstration of sklearn dataset API,https://youtu.be/bCxOHmIKDqQ?si=1xDtZnUO7L-CjCMG
